Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission
underweight,male,vegetarian,daily,natural gas,walk/bicycle,,sometimes,285,very frequently,11,small,7,9,42,17,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",2628
overweight,male,pescatarian,daily,wood,public,,often,188,very frequently,549,large,2,23,47,15,No,['Metal'],"['Grill', 'Airfryer']",3536
normal,female,omnivore,more frequently,coal,walk/bicycle,,often,248,rarely,8,large,5,9,34,11,No,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2300
obese,female,omnivore,less frequently,electricity,walk/bicycle,,often,158,rarely,78,large,3,23,22,0,No,['Metal'],"['Microwave', 'Grill', 'Airfryer']",1430
underweight,female,vegan,daily,wood,walk/bicycle,,never,135,very frequently,81,large,6,17,23,5,No,"['Paper', 'Plastic']","['Oven', 'Grill', 'Airfryer']",2391
normal,male,pescatarian,less frequently,coal,private,petrol,sometimes,297,frequently,4690,large,5,23,23,22,Yes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave']",4105
normal,female,pescatarian,more frequently,natural gas,public,,often,248,rarely,253,large,6,24,21,20,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",1612
obese,male,vegan,less frequently,wood,private,electric,sometimes,172,very frequently,2419,extra large,7,20,3,13,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",3342
underweight,male,vegan,daily,electricity,private,electric,sometimes,183,frequently,5544,small,4,24,19,12,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1333
normal,female,vegetarian,more frequently,electricity,private,petrol,often,245,very frequently,1645,small,2,5,28,20,Yes,['Metal'],"['Oven', 'Microwave']",2618
obese,male,pescatarian,daily,natural gas,private,electric,sometimes,77,very frequently,9246,large,5,14,35,9,No,"['Paper', 'Plastic', 'Metal']",['Stove'],3420
obese,male,omnivore,twice a day,wood,public,,never,155,rarely,1540,medium,1,6,21,11,Yes,"['Paper', 'Glass']",['Microwave'],1467
obese,female,omnivore,twice a day,coal,walk/bicycle,,never,189,rarely,79,extra large,1,18,37,3,Sometimes,"['Glass', 'Metal']","['Grill', 'Airfryer']",1843
underweight,male,pescatarian,daily,coal,walk/bicycle,,never,100,never,84,medium,2,19,33,13,Sometimes,"['Plastic', 'Glass']",[],1347
obese,female,omnivore,twice a day,natural gas,walk/bicycle,,never,178,never,4,small,4,17,14,23,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1075
overweight,female,omnivore,daily,wood,private,electric,often,181,never,7270,large,1,16,43,8,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1244
underweight,male,omnivore,twice a day,wood,walk/bicycle,,sometimes,61,very frequently,56,large,2,18,40,6,Yes,['Plastic'],"['Oven', 'Grill', 'Airfryer']",2875
underweight,female,omnivore,less frequently,natural gas,private,hybrid,sometimes,187,never,4588,small,3,5,14,10,Sometimes,"['Glass', 'Metal']","['Oven', 'Microwave']",1525
obese,male,vegetarian,less frequently,coal,private,hybrid,sometimes,202,very frequently,7843,medium,1,7,41,18,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",4682
underweight,female,vegan,daily,natural gas,private,lpg,sometimes,89,never,9503,extra large,5,17,0,0,Yes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",3087
normal,female,vegan,more frequently,natural gas,walk/bicycle,,sometimes,117,rarely,59,small,6,15,7,15,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",920
overweight,male,pescatarian,daily,electricity,private,electric,never,276,very frequently,2171,medium,7,14,8,0,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",2474
obese,male,pescatarian,twice a day,coal,walk/bicycle,,never,231,frequently,26,large,3,22,42,22,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",2614
overweight,male,vegan,daily,electricity,public,,sometimes,285,rarely,198,extra large,1,17,43,15,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1576
normal,male,vegan,daily,wood,private,diesel,often,56,frequently,1414,medium,7,13,40,3,Yes,"['Plastic', 'Glass', 'Metal']",['Stove'],2441
underweight,male,pescatarian,more frequently,wood,private,electric,never,164,never,4443,large,4,7,39,9,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1358
obese,female,omnivore,twice a day,coal,public,,sometimes,275,frequently,205,extra large,5,10,19,23,Sometimes,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",2998
obese,male,vegetarian,more frequently,natural gas,public,,never,103,very frequently,893,medium,3,19,4,7,Sometimes,"['Paper', 'Metal']",['Microwave'],2439
obese,female,vegetarian,more frequently,coal,walk/bicycle,,sometimes,177,frequently,5,extra large,7,9,35,0,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",2776
overweight,female,omnivore,more frequently,natural gas,walk/bicycle,,sometimes,53,never,59,large,3,3,28,22,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",1214
underweight,male,vegan,twice a day,wood,public,,often,101,very frequently,1220,small,2,15,21,18,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",2299
normal,male,vegan,more frequently,natural gas,public,,often,189,never,1932,small,5,16,8,4,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",898
underweight,male,omnivore,daily,natural gas,walk/bicycle,,sometimes,238,never,34,medium,4,24,16,9,No,"['Paper', 'Glass']",[],1220
overweight,male,pescatarian,daily,wood,walk/bicycle,,often,124,never,50,medium,3,4,13,15,Yes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1040
obese,male,vegetarian,less frequently,wood,public,,never,198,rarely,932,large,7,18,45,2,Sometimes,"['Paper', 'Plastic']",['Oven'],2426
obese,female,vegan,more frequently,wood,walk/bicycle,,never,247,very frequently,62,small,6,7,22,13,No,"['Paper', 'Glass']",[],2509
underweight,female,pescatarian,daily,coal,public,,often,178,never,895,extra large,7,15,24,17,No,"['Plastic', 'Metal']",['Oven'],1997
obese,female,vegetarian,daily,electricity,public,,sometimes,111,frequently,1607,extra large,5,13,17,1,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2001
underweight,male,vegan,daily,coal,public,,sometimes,205,rarely,1702,small,2,13,5,4,No,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",1082
overweight,male,pescatarian,less frequently,coal,public,,never,291,frequently,1584,medium,5,12,7,16,No,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2379
underweight,female,omnivore,daily,wood,private,lpg,often,146,very frequently,1200,large,7,16,22,18,Yes,"['Paper', 'Glass']","['Grill', 'Airfryer']",2777
overweight,male,pescatarian,more frequently,coal,walk/bicycle,,never,184,never,88,medium,7,16,14,11,Sometimes,"['Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",1624
normal,female,vegan,less frequently,electricity,private,hybrid,often,143,very frequently,1778,small,7,23,3,4,No,"['Plastic', 'Glass', 'Metal']",['Oven'],1926
overweight,female,pescatarian,less frequently,wood,public,,often,267,very frequently,520,large,3,8,40,6,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",2703
overweight,female,vegan,less frequently,natural gas,walk/bicycle,,often,96,very frequently,11,small,1,15,9,24,Sometimes,['Metal'],"['Stove', 'Grill', 'Airfryer']",2159
obese,male,omnivore,twice a day,natural gas,public,,sometimes,241,very frequently,1949,medium,3,11,2,1,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",2952
obese,male,vegan,daily,electricity,public,,never,215,never,1121,extra large,6,22,35,0,No,"['Plastic', 'Metal']","['Stove', 'Oven']",1891
normal,male,vegan,less frequently,wood,walk/bicycle,,often,191,rarely,63,medium,5,8,35,3,No,"['Plastic', 'Metal']","['Oven', 'Microwave']",1742
normal,female,omnivore,more frequently,electricity,private,lpg,never,65,never,2301,extra large,6,15,35,10,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",1825
underweight,female,pescatarian,less frequently,electricity,private,hybrid,never,290,frequently,583,small,5,13,42,22,Yes,"['Plastic', 'Metal']",['Microwave'],1647
normal,male,pescatarian,more frequently,natural gas,public,,sometimes,135,frequently,228,medium,5,1,20,4,No,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1948
overweight,male,pescatarian,twice a day,electricity,public,,never,234,rarely,1490,medium,1,22,36,23,Yes,"['Paper', 'Glass']",['Microwave'],1588
overweight,female,omnivore,more frequently,coal,private,hybrid,never,253,frequently,9663,extra large,3,11,49,9,No,['Metal'],"['Grill', 'Airfryer']",3938
underweight,female,vegetarian,less frequently,coal,walk/bicycle,,sometimes,268,very frequently,15,small,2,22,12,0,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1730
obese,female,vegetarian,daily,coal,walk/bicycle,,often,250,very frequently,30,medium,2,19,41,14,No,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",3147
underweight,female,vegetarian,less frequently,natural gas,walk/bicycle,,often,167,frequently,10,large,5,13,10,5,No,"['Paper', 'Glass']",['Stove'],1618
underweight,male,pescatarian,more frequently,wood,public,,often,63,frequently,442,large,2,0,49,9,No,"['Paper', 'Plastic']",[],2012
normal,male,omnivore,less frequently,electricity,walk/bicycle,,never,291,frequently,99,medium,4,10,30,14,Yes,"['Paper', 'Metal']","['Grill', 'Airfryer']",1848
obese,male,omnivore,daily,natural gas,walk/bicycle,,never,212,frequently,95,small,6,19,31,22,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven']",2540
overweight,male,omnivore,twice a day,electricity,private,lpg,often,173,rarely,352,medium,2,18,15,24,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1691
obese,female,pescatarian,daily,electricity,public,,never,250,rarely,821,extra large,4,11,18,19,Sometimes,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1616
normal,male,omnivore,twice a day,coal,walk/bicycle,,never,63,never,21,medium,7,15,35,12,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1907
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,never,141,very frequently,39,small,6,9,10,4,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2226
normal,male,omnivore,less frequently,wood,public,,often,53,rarely,1055,small,7,4,23,20,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1467
overweight,female,vegan,more frequently,wood,walk/bicycle,,never,56,frequently,78,extra large,2,3,50,0,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",1968
overweight,female,vegetarian,less frequently,electricity,public,,often,122,never,403,small,5,21,41,16,Sometimes,"['Plastic', 'Glass']",[],1187
overweight,female,vegan,more frequently,electricity,walk/bicycle,,often,257,never,54,large,5,24,13,23,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1155
obese,male,vegetarian,twice a day,wood,private,lpg,sometimes,84,frequently,4191,extra large,7,0,29,24,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",4492
overweight,female,vegetarian,daily,electricity,public,,never,59,very frequently,913,small,4,8,14,11,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1785
normal,male,vegetarian,twice a day,coal,walk/bicycle,,never,243,rarely,92,small,7,24,39,21,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven']",1751
overweight,male,pescatarian,daily,wood,public,,sometimes,125,rarely,684,extra large,6,12,1,4,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",1896
underweight,female,pescatarian,more frequently,coal,private,diesel,never,82,rarely,831,large,2,6,23,18,No,"['Paper', 'Plastic']",['Stove'],1409
underweight,female,vegan,less frequently,natural gas,public,,often,275,frequently,835,extra large,6,17,39,15,No,"['Paper', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2117
underweight,female,vegan,less frequently,coal,private,diesel,never,265,frequently,8311,large,2,8,19,17,No,['Metal'],"['Stove', 'Microwave']",3190
obese,female,vegan,daily,natural gas,public,,never,174,very frequently,171,medium,2,11,24,13,Yes,"['Paper', 'Plastic', 'Metal']",['Stove'],2274
normal,male,pescatarian,less frequently,natural gas,private,hybrid,never,207,very frequently,3424,medium,7,19,36,2,No,['Metal'],['Stove'],3425
overweight,female,vegan,less frequently,natural gas,walk/bicycle,,sometimes,85,rarely,19,small,2,13,32,2,Yes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",1075
overweight,female,vegan,twice a day,wood,private,electric,sometimes,56,rarely,6873,large,2,0,33,14,Yes,"['Paper', 'Glass', 'Metal']",[],1067
normal,female,vegetarian,twice a day,natural gas,private,electric,sometimes,152,very frequently,8676,medium,2,2,18,5,No,['Plastic'],['Stove'],2237
normal,male,omnivore,daily,coal,walk/bicycle,,never,270,rarely,14,extra large,6,18,47,21,No,"['Glass', 'Metal']","['Oven', 'Microwave']",2707
obese,female,vegan,less frequently,natural gas,public,,sometimes,116,frequently,336,small,6,15,17,19,No,['Paper'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1986
obese,male,vegan,twice a day,natural gas,private,hybrid,often,108,frequently,5284,medium,2,18,39,21,Yes,['Plastic'],"['Grill', 'Airfryer']",3597
normal,female,pescatarian,more frequently,coal,public,,never,259,frequently,1690,extra large,3,24,8,16,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",1755
obese,male,vegetarian,more frequently,wood,public,,often,94,rarely,1128,large,7,5,48,4,No,['Paper'],"['Stove', 'Microwave']",2906
underweight,male,vegan,daily,electricity,private,diesel,often,137,rarely,2988,small,5,10,11,3,Yes,"['Plastic', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1501
obese,female,omnivore,daily,coal,private,electric,never,251,rarely,4999,extra large,5,3,1,0,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven']",1729
underweight,male,vegan,twice a day,electricity,private,petrol,sometimes,284,never,2236,medium,3,4,50,22,No,[],"['Stove', 'Grill', 'Airfryer']",2360
overweight,female,omnivore,less frequently,natural gas,public,,sometimes,111,frequently,1682,extra large,1,17,13,3,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",1731
overweight,male,vegan,daily,coal,walk/bicycle,,often,63,never,2,extra large,4,9,15,22,No,['Glass'],"['Stove', 'Oven']",1980
normal,male,vegetarian,more frequently,coal,walk/bicycle,,often,249,never,35,large,1,14,7,4,No,['Metal'],"['Grill', 'Airfryer']",1349
obese,male,vegetarian,less frequently,natural gas,public,,never,207,frequently,360,medium,4,22,31,15,Yes,"['Plastic', 'Glass']",[],2396
underweight,female,vegetarian,more frequently,wood,public,,sometimes,77,very frequently,371,medium,2,4,44,0,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2060
overweight,female,vegetarian,more frequently,natural gas,walk/bicycle,,never,190,frequently,86,medium,5,7,19,4,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",1463
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,sometimes,263,frequently,71,extra large,2,15,33,12,No,[],"['Grill', 'Airfryer']",1979
underweight,female,vegetarian,more frequently,wood,walk/bicycle,,often,64,rarely,22,extra large,7,16,33,4,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",1775
underweight,female,vegetarian,less frequently,wood,public,,sometimes,189,frequently,1308,large,5,19,19,21,Yes,"['Plastic', 'Metal']","['Stove', 'Oven']",1824
underweight,female,omnivore,twice a day,electricity,public,,often,199,never,851,extra large,1,20,14,1,Yes,"['Plastic', 'Glass']","['Microwave', 'Grill', 'Airfryer']",867
obese,male,omnivore,more frequently,coal,private,petrol,often,50,never,7386,extra large,1,19,35,2,Yes,['Metal'],"['Grill', 'Airfryer']",5360
overweight,male,vegetarian,twice a day,coal,private,petrol,never,264,very frequently,3374,large,6,13,13,1,No,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",5034
normal,female,omnivore,daily,coal,walk/bicycle,,sometimes,68,rarely,58,medium,4,14,9,10,No,"['Paper', 'Glass']","['Stove', 'Oven']",1224
normal,female,omnivore,twice a day,electricity,private,diesel,never,52,frequently,2035,medium,7,19,17,13,No,"['Plastic', 'Metal']","['Stove', 'Oven']",1950
normal,male,pescatarian,daily,wood,private,diesel,sometimes,274,rarely,6365,medium,2,0,3,23,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2493
obese,male,vegetarian,more frequently,natural gas,walk/bicycle,,sometimes,86,never,18,medium,1,9,29,10,Sometimes,"['Paper', 'Plastic', 'Glass']",[],1127
underweight,male,vegetarian,daily,wood,private,electric,never,80,frequently,5795,medium,2,24,44,18,No,"['Paper', 'Metal']",['Microwave'],1791
normal,female,vegetarian,less frequently,natural gas,private,lpg,sometimes,115,very frequently,1116,small,7,23,3,20,Sometimes,['Plastic'],[],2309
normal,male,pescatarian,less frequently,coal,walk/bicycle,,never,84,very frequently,13,small,1,2,24,16,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",2331
obese,female,pescatarian,daily,coal,walk/bicycle,,often,150,rarely,53,small,6,2,36,20,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1933
underweight,male,vegan,daily,coal,walk/bicycle,,sometimes,51,rarely,13,extra large,4,24,41,8,Yes,"['Plastic', 'Metal']",['Microwave'],1782
overweight,female,omnivore,more frequently,natural gas,walk/bicycle,,often,258,rarely,88,small,7,24,22,23,No,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave']",1746
overweight,male,omnivore,less frequently,wood,private,lpg,sometimes,180,never,7507,medium,1,2,50,17,Sometimes,['Metal'],"['Microwave', 'Grill', 'Airfryer']",3939
obese,female,omnivore,more frequently,natural gas,private,hybrid,never,151,very frequently,1370,small,4,23,44,8,Sometimes,[],"['Oven', 'Microwave', 'Grill', 'Airfryer']",3251
underweight,male,vegetarian,daily,wood,public,,never,208,frequently,25,small,4,9,31,12,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1906
underweight,male,omnivore,daily,electricity,walk/bicycle,,often,206,never,59,small,3,10,40,2,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",955
obese,male,pescatarian,daily,electricity,public,,sometimes,86,never,1480,large,4,5,35,8,Yes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1377
underweight,male,vegetarian,less frequently,coal,public,,sometimes,256,never,1568,small,1,9,30,5,Sometimes,['Plastic'],['Oven'],1484
overweight,female,vegetarian,less frequently,coal,public,,sometimes,64,rarely,1704,small,7,17,18,9,Yes,"['Paper', 'Plastic']","['Microwave', 'Grill', 'Airfryer']",1437
obese,female,vegan,less frequently,electricity,walk/bicycle,,never,166,rarely,65,medium,3,14,24,13,No,"['Paper', 'Plastic', 'Metal']","['Grill', 'Airfryer']",968
underweight,male,pescatarian,twice a day,wood,private,lpg,sometimes,116,frequently,7450,extra large,2,21,42,12,Yes,['Paper'],"['Microwave', 'Grill', 'Airfryer']",4257
normal,male,vegan,twice a day,electricity,walk/bicycle,,never,269,very frequently,75,medium,3,16,5,14,No,"['Paper', 'Plastic', 'Metal']",['Microwave'],1881
overweight,female,pescatarian,daily,wood,public,,never,55,very frequently,981,large,3,0,46,17,Sometimes,['Paper'],"['Oven', 'Grill', 'Airfryer']",2824
overweight,female,vegan,twice a day,natural gas,walk/bicycle,,often,147,never,45,extra large,6,21,48,24,No,"['Plastic', 'Glass', 'Metal']",['Stove'],2010
obese,male,vegan,twice a day,natural gas,public,,sometimes,225,frequently,1921,medium,7,1,25,7,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2567
underweight,male,pescatarian,daily,coal,private,electric,often,106,rarely,9086,small,4,0,27,22,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",1593
underweight,male,vegan,less frequently,coal,private,lpg,never,299,frequently,5652,large,3,13,33,17,Sometimes,['Paper'],"['Stove', 'Oven', 'Microwave']",3767
normal,male,vegetarian,twice a day,electricity,public,,never,147,never,999,large,3,13,13,17,Sometimes,['Glass'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",1087
overweight,male,vegan,twice a day,wood,public,,sometimes,65,rarely,339,small,5,15,38,0,Sometimes,['Plastic'],"['Oven', 'Microwave']",1625
normal,female,omnivore,twice a day,coal,private,electric,never,275,very frequently,2098,extra large,3,15,10,9,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2487
overweight,female,pescatarian,daily,electricity,walk/bicycle,,often,137,frequently,12,small,6,20,16,0,Sometimes,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",1324
obese,female,omnivore,less frequently,electricity,walk/bicycle,,sometimes,138,never,83,extra large,7,1,47,6,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2371
underweight,male,omnivore,more frequently,electricity,public,,sometimes,222,never,1591,medium,7,18,0,18,Yes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",1257
obese,female,omnivore,twice a day,electricity,private,petrol,never,112,very frequently,960,large,5,4,40,11,Yes,"['Glass', 'Metal']","['Grill', 'Airfryer']",3147
overweight,female,omnivore,more frequently,coal,private,petrol,often,118,rarely,2089,medium,7,16,4,20,No,"['Glass', 'Metal']","['Oven', 'Grill', 'Airfryer']",2577
underweight,female,vegetarian,more frequently,wood,public,,sometimes,181,very frequently,14,extra large,4,21,41,15,Yes,['Plastic'],"['Stove', 'Oven']",2689
obese,female,vegetarian,less frequently,natural gas,public,,sometimes,245,rarely,65,small,4,21,42,23,Sometimes,"['Glass', 'Metal']",['Microwave'],1756
obese,female,vegetarian,less frequently,electricity,public,,never,167,very frequently,983,medium,7,6,21,22,Yes,['Plastic'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",2781
underweight,male,vegetarian,daily,wood,private,hybrid,often,66,frequently,504,extra large,4,20,27,20,No,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2236
overweight,female,vegan,more frequently,natural gas,public,,sometimes,237,never,1417,small,6,24,23,11,Yes,['Glass'],['Oven'],1378
obese,male,pescatarian,twice a day,electricity,public,,often,283,rarely,91,extra large,6,23,34,3,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",2439
overweight,female,vegetarian,daily,electricity,private,electric,often,145,never,1519,small,7,7,38,23,Sometimes,"['Paper', 'Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",1119
obese,male,vegetarian,more frequently,natural gas,public,,sometimes,166,frequently,1235,small,6,17,27,3,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave']",2141
overweight,female,vegetarian,more frequently,natural gas,public,,never,287,very frequently,1872,large,6,0,6,1,Sometimes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Microwave']",2443
overweight,male,omnivore,twice a day,natural gas,public,,sometimes,234,never,589,medium,7,6,24,5,Sometimes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1943
overweight,male,vegetarian,more frequently,coal,public,,never,233,rarely,1244,large,2,8,7,0,No,['Paper'],"['Stove', 'Oven']",1499
normal,female,vegan,less frequently,coal,walk/bicycle,,sometimes,120,very frequently,91,large,3,4,44,4,No,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2727
normal,male,pescatarian,twice a day,wood,walk/bicycle,,sometimes,193,never,19,large,7,18,15,19,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1590
underweight,male,pescatarian,less frequently,coal,private,lpg,never,243,rarely,2369,large,2,5,12,19,Sometimes,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",1945
underweight,male,vegan,daily,electricity,walk/bicycle,,sometimes,200,rarely,78,small,1,12,1,15,Sometimes,"['Paper', 'Metal']","['Stove', 'Grill', 'Airfryer']",559
obese,female,vegan,daily,coal,public,,sometimes,60,never,1869,extra large,6,16,28,4,Sometimes,"['Paper', 'Glass', 'Metal']","['Grill', 'Airfryer']",1877
obese,male,pescatarian,less frequently,wood,private,hybrid,never,282,very frequently,8524,small,4,18,35,10,Yes,['Glass'],['Oven'],4931
underweight,male,pescatarian,daily,coal,walk/bicycle,,never,236,never,24,small,6,5,24,19,Yes,"['Paper', 'Glass']","['Stove', 'Oven']",1304
underweight,male,omnivore,daily,wood,public,,often,158,frequently,753,medium,4,6,7,20,Yes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",1782
obese,male,pescatarian,twice a day,electricity,walk/bicycle,,often,57,rarely,73,large,1,0,39,15,No,[],"['Oven', 'Microwave']",1783
overweight,female,vegan,less frequently,wood,walk/bicycle,,sometimes,284,never,57,small,4,8,7,4,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",601
overweight,male,vegan,twice a day,wood,public,,often,101,never,809,large,5,1,38,2,No,"['Glass', 'Metal']","['Oven', 'Microwave']",1827
underweight,male,vegan,less frequently,electricity,public,,often,279,frequently,574,extra large,4,14,0,0,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",1455
obese,female,pescatarian,daily,natural gas,walk/bicycle,,never,111,very frequently,86,extra large,5,21,12,7,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2598
underweight,female,pescatarian,less frequently,wood,walk/bicycle,,never,170,very frequently,10,small,6,18,33,7,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave']",2089
underweight,female,vegan,twice a day,coal,private,hybrid,often,249,rarely,2989,small,5,13,43,4,No,['Paper'],"['Stove', 'Oven']",2036
underweight,female,vegan,more frequently,wood,private,petrol,sometimes,204,frequently,8442,extra large,6,10,1,5,No,"['Paper', 'Plastic', 'Metal']",['Oven'],3959
underweight,male,vegetarian,more frequently,coal,public,,often,282,never,799,extra large,6,7,29,16,Sometimes,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",2067
obese,female,omnivore,twice a day,electricity,private,lpg,often,206,very frequently,3538,medium,3,11,38,8,Sometimes,"['Paper', 'Glass']",['Microwave'],3736
underweight,male,pescatarian,twice a day,electricity,walk/bicycle,,often,121,very frequently,61,large,2,2,37,14,Yes,['Plastic'],['Oven'],2462
normal,male,vegetarian,twice a day,coal,private,lpg,sometimes,288,very frequently,8954,medium,1,16,32,3,Sometimes,['Plastic'],['Microwave'],5390
overweight,female,vegetarian,twice a day,coal,public,,often,108,very frequently,1861,large,3,14,46,23,Yes,['Plastic'],['Oven'],3126
