Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
GAL-USD,Galatasaray Fan Token USD,4.5887,-0.0598,-1.29%,18.787M,2.018M,2.018M,2.018M,4.094M
HNS-USD,Handshake USD,0.03209,0.001697,0.0558,18.743M,"47,125","47,125","47,125",584.065M
FRA-USD,Findora USD,0.002775,5.7e-05,0.0211,18.78M,"459,283","459,283","459,283",6.768B
AST-USD,AirSwap USD,0.10704,-0.002146,-1.97%,18.676M,1.03M,1.03M,1.03M,174.48M
MPL-USD,Maple USD,4.2251,0.0355,0.0085,18.666M,"278,911","278,911","278,911",4.418M
AKRO-USD,Akropolis USD,0.004384,-0.000226,-4.91%,18.645M,4.961M,4.961M,4.961M,4.253B
ALU-USD,Altura USD,0.025828,0.000123,0.0048,18.59M,"288,775","288,775","288,775",719.755M
FIDA-USD,Bonfida USD,0.415025,0.014063,0.0351,18.564M,6.888M,6.888M,6.888M,44.73M
MNGO-USD,Mango USD,0.018477,-0.000419,-2.22%,18.477M,"110,059","110,059","110,059",1B
CENNZ-USD,CENNZnet USD,0.015501,-0.000228,-1.45%,18.602M,"58,846","58,846","58,846",1.2B
ES-USD,Era Swap USD,0.009261,-2e-05,-0.21%,18.385M,"452,183","452,183","452,183",1.985B
OOKI-USD,Ooki Protocol USD,0.004116,-0.000116,-2.73%,18.361M,2.864M,2.864M,2.864M,4.461B
VIB-USD,Viberate USD,0.090749,-0.00118,-1.28%,18.117M,13.286M,13.286M,13.286M,199.635M
AUTO-USD,Auto USD,232.95,2.67,0.0116,17.759M,8.643M,8.643M,8.643M,"76,231"
WTC-USD,Waltonchain USD,0.215599,0.002044,0.0096,17.724M,5.007M,5.007M,5.007M,82.209M
KILT-USD,KILT Protocol USD,0.356173,-0.010453,-2.85%,17.602M,"88,544","88,544","88,544",49.42M
GFI13967-USD,Goldfinch USD,0.601845,-0.017545,-2.83%,17.535M,"190,380","190,380","190,380",29.135M
STRM17464-USD,StreamCoin USD,0.012403,-8e-06,-0.06%,17.467M,10.102M,10.102M,10.102M,1.408B
GXA-USD,GALAXIA USD,0.009269,-0.000399,-4.12%,17.458M,"525,289","525,289","525,289",1.883B
BMX-USD,BitMart Token USD,0.100396,-0.000253,-0.25%,17.441M,2.184M,2.184M,2.184M,173.718M
EGG-USD,Nestree USD,0.006472,-4.2e-05,-0.64%,17.32M,"62,636","62,636","62,636",2.676B
DX-USD,DxChain Token USD,0.000345,-4.1e-05,-10.71%,17.26M,"15,566","15,566","15,566",50B
GET-USD,GET Protocol USD,1.5118,0.0549,0.0377,17.217M,"132,309","132,309","132,309",11.388M
CAPS-USD,Ternoa USD,0.026328,0.001064,0.0421,17.165M,1.122M,1.122M,1.122M,651.976M
POOLX-USD,Poolz Finance USD,3.8313,-0.1814,-4.52%,17.049M,2.146M,2.146M,2.146M,4.45M
JUV-USD,Juventus Fan Token USD,3.8239,-1.4439,-27.41%,16.868M,170.524M,170.524M,170.524M,4.411M
FITFI-USD,Step App USD,0.011135,-7e-06,-0.06%,17.024M,2.838M,2.838M,2.838M,1.529B
ALEPH-USD,Aleph.im USD,0.06843,0.00104,0.0154,16.917M,"191,080","191,080","191,080",247.22M
PERL-USD,PERL.eco USD,0.034305,0.00056,0.0166,16.841M,11.926M,11.926M,11.926M,490.939M
PTS-USD,Petals USD,0.001185,4.3e-05,0.0377,16.733M,"12,762","12,762","12,762",14.125B
RFOX-USD,RFOX USD,0.012599,-0.000504,-3.84%,16.53M,"247,812","247,812","247,812",1.312B
PLU-USD,Project Plutus USD,8.8824,-0.3802,-4.10%,16.45M,"554,753","554,753","554,753",1.852M
FUSE-USD,Fuse Network USD,0.073815,-0.000563,-0.76%,16.231M,"774,668","774,668","774,668",219.882M
DORA-USD,Dora Factory USD,3.1899,-0.04,-1.24%,16.054M,"395,129","395,129","395,129",5.033M
NCT-USD,Name Change Token USD,0.010317,-0.000209,-1.99%,15.954M,"331,379","331,379","331,379",1.546B
CHO-USD,Choise.com USD,0.582699,0.011989,0.021,15.765M,1.491M,1.491M,1.491M,27.055M
ETHAX-USD,ETHAX USD,0.087588,-0.000552,-0.63%,15.721M,"33,934","33,934","33,934",179.491M
SOV-USD,Sovryn USD,0.644383,0.019731,0.0316,15.681M,"193,323","193,323","193,323",24.335M
AFC11532-USD,Arsenal Fan Token USD,3.3145,0.0809,0.025,15.617M,12.452M,12.452M,12.452M,4.712M
PNT5794-USD,pNetwork USD,0.209131,-0.001343,-0.64%,15.561M,1.638M,1.638M,1.638M,74.408M
HYDRA-USD,Hydra USD,1.8023,-0.0026,-0.14%,15.512M,"76,324","76,324","76,324",8.607M
BEPRO-USD,BEPRO Network USD,0.001549,-3.6e-05,-2.24%,15.491M,"731,366","731,366","731,366",10B
ASM-USD,Assemble Protocol USD,0.012388,-0.000122,-0.98%,15.367M,"99,234","99,234","99,234",1.24B
TOKE-USD,Tokemak USD,0.940592,-0.026589,-2.75%,15.346M,"365,882","365,882","365,882",16.315M
DACXI-USD,Dacxi USD,0.002289,-8.7e-05,-3.68%,15.339M,"59,800","59,800","59,800",6.701B
ZANO-USD,Zano USD,1.3051,-0.0289,-2.17%,15.189M,"105,298","105,298","105,298",11.638M
NIM-USD,Nimiq USD,0.001451,-6.7e-05,-4.40%,15.158M,"85,026","85,026","85,026",10.448B
DBC-USD,DeepBrain Chain USD,0.004721,9e-06,0.002,15.109M,"710,799","710,799","710,799",3.2B
GST16352-USD,Green Satoshi Token (SOL) USD,0.021054,-0.000434,-2.02%,15.094M,4.892M,4.892M,4.892M,716.951M
PROS8255-USD,Prosper USD,0.520904,-0.018542,-3.44%,15.097M,13.982M,13.982M,13.982M,28.982M
BIDR-USD,BIDR USD,0.000067,0.0,-0.09%,15.059M,8.785M,8.785M,8.785M,225.715B
KUNCI-USD,Kunci Coin USD,0.012208,-2.8e-05,-0.23%,15.047M,1.239M,1.239M,1.239M,1.233B
LA-USD,LATOKEN USD,0.039361,-0.003488,-8.14%,14.961M,"26,502","26,502","26,502",380.105M
ACM8538-USD,AC Milan Fan Token USD,2.8104,-0.3894,-12.17%,14.674M,35.147M,35.147M,35.147M,5.221M
PIP-USD,Pip USD,0.181487,-0.020954,-10.35%,14.272M,"492,656","492,656","492,656",78.639M
BOO-USD,SpookySwap USD,1.5653,-0.0704,-4.30%,14.699M,"304,705","304,705","304,705",9.391M
DAD-USD,DAD USD,0.026014,-0.00046,-1.74%,14.568M,"793,626","793,626","793,626",560M
MLT-USD,MILC Platform USD,0.116294,-0.000563,-0.48%,14.47M,"385,646","385,646","385,646",124.423M
HUSD-USD,HUSD USD,0.063994,-0.000519,-0.80%,14.245M,800,800,800,222.594M
NUM-USD,Numbers Protocol USD,0.043303,-0.00018,-0.41%,14.234M,"830,094","830,094","830,094",328.715M
BSCPAD-USD,BSCPAD USD,0.179692,-0.00034,-0.19%,14.234M,"44,081","44,081","44,081",79.212M
APM-USD,apM Coin USD,0.016606,0.000212,0.0129,14.157M,3.574M,3.574M,3.574M,852.5M
SD-USD,Stader USD,1.3861,-0.0611,-4.22%,14.067M,2.673M,2.673M,2.673M,10.149M
CVP-USD,PowerPool USD,0.471786,-0.010225,-2.12%,14.104M,8.647M,8.647M,8.647M,29.896M
SOLVE-USD,SOLVE USD,0.029128,-0.000112,-0.38%,14.049M,"475,354","475,354","475,354",482.325M
SAITO-USD,Saito USD,0.013105,-0.000141,-1.06%,13.963M,"86,046","86,046","86,046",1.065B
SCLP-USD,Scallop USD,0.238122,-0.011238,-4.51%,13.95M,"513,481","513,481","513,481",58.583M
DMD-USD,Diamond USD,3.7063,-0.0011,-0.03%,13.891M,"11,850","11,850","11,850",3.748M
WRLD-USD,NFT Worlds USD,0.019471,-0.002204,-10.17%,13.865M,"120,055","120,055","120,055",712.091M
SWTH-USD,Carbon Protocol USD,0.008736,-0.000265,-2.95%,13.852M,"31,502","31,502","31,502",1.586B
PDEX-USD,Polkadex USD,1.6403,-0.0027,-0.16%,13.713M,"354,611","354,611","354,611",8.36M
TTT5514-USD,The Transfer Token USD,0.114015,-0.001397,-1.21%,13.254M,21,21,21,116.25M
FOX-USD,Shapeshift FOX Token USD,0.035099,-0.000194,-0.55%,13.238M,"108,631","108,631","108,631",377.154M
SAMO-USD,Samoyedcoin USD,0.003581,4.9e-05,0.0139,13.096M,"415,880","415,880","415,880",3.657B
BWO-USD,Battle World USD,0.10536,-0.000769,-0.72%,13.088M,"716,633","716,633","716,633",124.218M
STC-USD,Student Coin USD,0.002461,-0.000456,-15.65%,13.099M,"96,107","96,107","96,107",5.323B
JEWEL-USD,DeFi Kingdoms USD,0.185304,0.005418,0.0301,13.351M,"100,502","100,502","100,502",72.049M
PPC-USD,Pokemon Play USD,0.46381,-0.008241,-1.75%,13.032M,"5,068","5,068","5,068",28.098M
NRG-USD,Energi USD,0.205124,-0.002027,-0.98%,13.007M,"84,944","84,944","84,944",63.413M
SOCKS-USD,Unisocks USD,"43,082.12",-965.68,-2.19%,13.011M,"1,664","1,664","1,664",302
DPR-USD,Deeper Network USD,0.007782,9.3e-05,0.0122,13.016M,1.636M,1.636M,1.636M,1.673B
UFT-USD,UniLend USD,0.417336,-0.001789,-0.43%,12.959M,7.164M,7.164M,7.164M,31.053M
FLASH8627-USD,Flashstake USD,0.381183,-0.006153,-1.59%,12.877M,"565,586","565,586","565,586",33.783M
XHV-USD,Haven Protocol USD,0.437963,-0.015972,-3.52%,12.83M,"71,036","71,036","71,036",29.295M
MIX-USD,MixMarvel USD,0.002728,-1.9e-05,-0.70%,12.82M,"417,951","417,951","417,951",4.7B
KAR-USD,Karura USD,0.151526,-0.000533,-0.35%,12.754M,"131,794","131,794","131,794",84.168M
PKF-USD,Red Kite USD,0.111042,-0.007787,-6.55%,12.736M,"589,315","589,315","589,315",114.692M
SUKU-USD,Suku USD,0.071262,-0.000509,-0.71%,12.713M,"990,845","990,845","990,845",178.403M
RXD-USD,Radiant USD,0.002259,-0.000385,-14.56%,11.467M,"163,927","163,927","163,927",5.077B
AMO-USD,AMO Coin USD,0.000661,-1.1e-05,-1.60%,12.61M,"558,266","558,266","558,266",19.068B
DLC21849-USD,Diamond Launch USD,0.130517,5.1e-05,0.0004,12.556M,"228,392","228,392","228,392",96.203M
ATOLO-USD,RIZON USD,0.005991,-5.5e-05,-0.92%,12.366M,"125,191","125,191","125,191",2.064B
HEGIC-USD,Hegic USD,0.017563,0.000784,0.0467,12.359M,"484,445","484,445","484,445",703.727M
STOS-USD,Stratos USD,0.612637,0.029474,0.0505,12.346M,"621,052","621,052","621,052",20.152M
MATH-USD,MATH USD,0.107116,-0.003757,-3.39%,12.249M,"329,448","329,448","329,448",114.356M
SLND-USD,Solend USD,0.364018,0.001166,0.0032,12.195M,"62,028","62,028","62,028",33.5M
CRTS-USD,Cratos USD,0.000247,3.1e-05,0.1417,12.178M,"223,908","223,908","223,908",49.3B
CPOOL-USD,Clearpool USD,0.036943,-0.000674,-1.79%,12.104M,"251,330","251,330","251,330",327.654M
VBIT-USD,Valobit USD,0.010053,-3.7e-05,-0.37%,12.072M,"4,075","4,075","4,075",1.201B
DVI-USD,Dvision Network USD,0.022046,-0.000245,-1.10%,12.063M,"112,623","112,623","112,623",547.196M
RAINI-USD,Rainicorn USD,0.023946,-0.001388,-5.48%,11.973M,"79,899","79,899","79,899",500M
PUSH-USD,Push Protocol USD,0.36748,-0.003955,-1.06%,11.974M,"424,929","424,929","424,929",32.584M
QSP-USD,Quantstamp USD,0.016756,-0.001073,-6.02%,11.96M,"665,430","665,430","665,430",713.802M
CIV11345-USD,Civilization USD,0.039742,0.012716,0.4705,11.923M,"1,144","1,144","1,144",300M
TAMA-USD,Tamadoge USD,0.011485,3.5e-05,0.003,11.776M,1.083M,1.083M,1.083M,1.025B
NWC-USD,Newscrypto USD,0.078084,-0.009503,-10.85%,11.744M,"331,316","331,316","331,316",150.401M
ERC20-USD,ERC20 USD,0.010366,-4.2e-05,-0.41%,11.7M,45,45,45,1.129B
CRU-USD,Crust Network USD,1.2376,0.1047,0.0924,11.442M,3.564M,3.564M,3.564M,9.245M
UNCX-USD,UniCrypt USD,324.54,-38.04,-10.49%,11.432M,"128,623","128,623","128,623","35,225"
QRL-USD,Quantum Resistant Ledger USD,0.147371,-0.012275,-7.69%,11.364M,"26,984","26,984","26,984",77.11M
OOE-USD,OpenOcean USD,0.022554,-0.000516,-2.24%,11.377M,"643,144","643,144","643,144",504.426M
SIDUS-USD,SIDUS USD,0.001897,-1.1e-05,-0.55%,11.372M,"675,401","675,401","675,401",5.994B
VEED-USD,VIMworld USD,0.00204,-0.000147,-6.71%,11.355M,"168,781","168,781","168,781",5.566B
ZKS-USD,ZKSpace USD,0.057311,-0.002797,-4.65%,11.316M,"386,385","386,385","386,385",197.44M
DFA-USD,DeFine USD,0.04391,0.002393,0.0576,11.308M,1.537M,1.537M,1.537M,257.529M
ADP-USD,Adappter Token USD,0.006577,-9.2e-05,-1.38%,11.289M,"727,124","727,124","727,124",1.716B
NFTX-USD,NFTX USD,18.59,-0.46,-2.43%,11.28M,"17,872","17,872","17,872","606,672"
KAT3634-USD,Kambria USD,0.005126,0.00042,0.0891,11.206M,"361,095","361,095","361,095",2.186B
KRL-USD,Kryll USD,0.290586,-0.001327,-0.45%,11.172M,"229,780","229,780","229,780",38.447M
MSOL-USD,Marinade Staked SOL USD,22.36,-0.27,-1.18%,11.137M,"961,942","961,942","961,942","498,000"
SOS16463-USD,OpenDAO USD,0.00000011,0.0,-3.01%,11.115M,1.937M,1.937M,1.937M,100T
INTER-USD,Inter Milan Fan Token USD,2.6304,-0.0893,-3.28%,11.048M,22.538M,22.538M,22.538M,4.2M
ATM-USD,Atletico De Madrid Fan Token USD,3.2848,-0.7632,-18.85%,10.95M,58.04M,58.04M,58.04M,3.334M
POA-USD,Proof Of Apes USD,0.037227,0.012325,0.4949,10.981M,294,294,294,294.965M
ABT-USD,Arcblock USD,0.110815,-0.003635,-3.18%,10.921M,"363,905","363,905","363,905",98.554M
SIX-USD,SIX USD,0.039862,0.000256,0.0065,10.913M,"68,513","68,513","68,513",273.777M
GOC-USD,GoCrypto Token USD,0.04412,-0.000373,-0.84%,10.822M,"263,488","263,488","263,488",245.278M
RISE15257-USD,EverRise USD,0.000167,-3e-06,-1.62%,10.69M,"4,248","4,248","4,248",63.879B
KDAG-USD,King DAG USD,0.19855,0.002482,0.0127,10.811M,"150,352","150,352","150,352",54.452M
NAP-USD,Napoli Fan Token USD,6.4484,-0.2318,-3.47%,10.644M,10.388M,10.388M,10.388M,1.651M
IMPT22985-USD,IMPT USD,0.008009,-3e-05,-0.38%,10.587M,"275,608","275,608","275,608",1.322B
GBYTE-USD,Obyte USD,12.57,-0.3,-2.33%,10.486M,"5,655","5,655","5,655","834,462"
THN-USD,Throne USD,0.026722,-0.000448,-1.65%,10.442M,"606,265","606,265","606,265",390.752M
GNY-USD,GNY USD,0.054352,0.002084,0.0399,10.456M,"138,782","138,782","138,782",192.377M
KAN-USD,BitKan USD,0.001088,-1.2e-05,-1.05%,10.387M,"150,642","150,642","150,642",9.547B
IMGNAI-USD,Image Generation AI USD,0.013374,-0.000546,-3.92%,10.389M,"283,269","283,269","283,269",776.833M
SWASH-USD,Swash USD,0.018705,-0.000702,-3.62%,10.334M,"173,315","173,315","173,315",552.464M
SOC-USD,All Sports USD,0.00686,-0.006873,-50.05%,10.289M,0,0,0,1.5B
MBS-USD,MonkeyLeague USD,0.055775,-0.000568,-1.01%,10.186M,1.191M,1.191M,1.191M,182.625M
XDEFI-USD,XDEFI Wallet USD,0.122742,-0.0082,-6.26%,10.164M,"102,255","102,255","102,255",82.804M
HOGE-USD,Hoge Finance USD,0.000025,0.0,-0.46%,10.159M,"19,144","19,144","19,144",402.276B
DAFI-USD,DAFI Protocol USD,0.010927,0.000276,0.0259,9.985M,"493,512","493,512","493,512",913.783M
LSS-USD,Lossless USD,0.179292,-0.000287,-0.16%,9.964M,"119,253","119,253","119,253",55.573M
FYN-USD,Affyn USD,0.039078,7.6e-05,0.002,9.927M,"397,642","397,642","397,642",254.034M
VR-USD,Victoria VR USD,0.008536,-0.000671,-7.29%,9.922M,"571,035","571,035","571,035",1.162B
BTSE-USD,BTSE USD,2.2771,-0.0056,-0.25%,9.916M,1.02M,1.02M,1.02M,4.355M
BANANA8497-USD,ApeSwap USD,0.048586,-0.000247,-0.50%,9.909M,"75,434","75,434","75,434",203.942M
GARI-USD,Gari Network USD,0.04988,-0.000982,-1.93%,9.884M,"567,023","567,023","567,023",198.158M
SHIRYO-USD,Shiryo USD,0,0.0,-10.75%,9.789M,"24,675","24,675","24,675","981,846.772T"
WWY-USD,WeWay USD,0.006849,-1.4e-05,-0.20%,9.864M,"761,605","761,605","761,605",1.44B
VRT-USD,Venus Reward Token USD,0.000444,-5e-06,-1.22%,9.764M,"58,082","58,082","58,082",22B
WICC-USD,WaykiChain USD,0.045906,0.000694,0.0153,9.64M,"509,512","509,512","509,512",210M
AURY-USD,Aurory USD,0.52433,-0.007745,-1.46%,9.606M,"211,698","211,698","211,698",18.32M
VINU15270-USD,Vita Inu USD,0.00000001,0.0,-1.47%,9.594M,4.621M,4.621M,4.621M,786.112T
HAPI-USD,HAPI Protocol USD,13.44,-0.42,-3.00%,9.517M,"790,052","790,052","790,052","708,064"
QASH-USD,QASH USD,0.027238,5.8e-05,0.0021,9.533M,"19,553","19,553","19,553",350M
GOVI-USD,Govi USD,0.462412,-0.004498,-0.96%,9.51M,"143,139","143,139","143,139",20.565M
SFD-USD,SAFE DEAL USD,1.1172,-0.0353,-3.07%,9.465M,"13,533","13,533","13,533",8.472M
KATA-USD,Katana Inu USD,0.00044,-1e-05,-2.21%,9.463M,1.055M,1.055M,1.055M,21.527B
URUS-USD,Aurox USD,17.81,-0.12,-0.69%,9.293M,"200,442","200,442","200,442","521,929"
DDX-USD,DerivaDAO USD,0.355889,-0.00029,-0.08%,9.287M,"75,192","75,192","75,192",26.095M
QTCON-USD,Quiztok USD,0.001465,-6e-06,-0.42%,9.278M,1.206M,1.206M,1.206M,6.332B
XOR-USD,SORA USD,2.9279,-0.0286,-0.97%,9.233M,"290,021","290,021","290,021",3.153M
BOA-USD,BOSagora USD,0.029501,-0.001289,-4.19%,9.178M,"414,343","414,343","414,343",311.113M
BABY10334-USD,BabySwap USD,0.022882,-0.000534,-2.28%,9.12M,"250,795","250,795","250,795",398.544M
CERE-USD,Cere Network USD,0.005722,-0.000205,-3.46%,9.072M,1.176M,1.176M,1.176M,1.586B
WOM19623-USD,Wombat Exchange USD,0.155136,-0.007371,-4.54%,9.08M,"444,185","444,185","444,185",58.529M
ORB18839-USD,Orbcity USD,0.073631,-0.001383,-1.84%,9.023M,"546,863","546,863","546,863",122.538M
ACX22620-USD,Across Protocol USD,0.065293,0.00109,0.017,9.015M,"279,783","279,783","279,783",138.064M
GO-USD,GoChain USD,0.007357,-0.000126,-1.68%,8.948M,"96,436","96,436","96,436",1.216B
RVF-USD,RocketX exchange USD,0.118338,0.007036,0.0632,8.872M,"289,878","289,878","289,878",74.974M
BDP8708-USD,Big Data Protocol USD,0.179224,-0.010376,-5.47%,8.863M,"393,766","393,766","393,766",49.451M
VAL-USD,Validity USD,1.832,0.1478,0.0878,8.814M,1.555M,1.555M,1.555M,4.811M
DIME-USD,Dimecoin USD,0.000018,0.0,-1.56%,8.796M,19,19,19,478.333B
PTU-USD,Pintu Token USD,0.374998,-0.001426,-0.38%,8.761M,"10,720","10,720","10,720",23.362M
CRPT-USD,Crypterium USD,0.091787,-0.001928,-2.06%,8.764M,"771,846","771,846","771,846",95.478M
DOV-USD,Dovu USD,0.009167,-0.000283,-2.99%,8.765M,"1,243","1,243","1,243",956.157M
KOK-USD,KOK USD,0.081315,0.004365,0.0567,8.728M,1.272M,1.272M,1.272M,107.333M
MCRT-USD,MagicCraft USD,0.003528,-1.9e-05,-0.52%,8.732M,5.368M,5.368M,5.368M,2.475B
NEWS-USD,PUBLISH USD,0.00706,-0.000704,-9.06%,8.685M,1.125M,1.125M,1.125M,1.23B
TORN-USD,Tornado Cash USD,7.7781,-2.1658,-21.78%,8.554M,16.88M,16.88M,16.88M,1.1M
MVC-USD,MileVerse USD,0.003259,-3.7e-05,-1.14%,8.59M,"6,260","6,260","6,260",2.636B
ZCN-USD,Zus USD,0.176559,-0.009322,-5.01%,8.546M,"20,499","20,499","20,499",48.401M
MANC-USD,Mancium USD,0.84883,-0.016045,-1.86%,8.488M,"226,797","226,797","226,797",10M
XMC-USD,Monero Classic USD,0.44311,0.000231,0.0005,8.497M,"16,052","16,052","16,052",19.176M
FUND-USD,Unification USD,0.246066,-0.005382,-2.14%,8.476M,"134,947","134,947","134,947",34.447M
XTP-USD,Tap USD,0.006874,1.5e-05,0.0022,8.468M,"130,479","130,479","130,479",1.232B
PALLA-USD,Pallapay USD,0.011379,8.7e-05,0.0077,8.461M,"24,627","24,627","24,627",743.546M
SERO-USD,Super Zero Protocol USD,0.021826,-0.001435,-6.17%,8.455M,"195,291","195,291","195,291",387.376M
TOWN-USD,Town Star USD,0.030889,-0.000353,-1.13%,8.44M,"313,950","313,950","313,950",273.244M
LBC-USD,LBRY Credits USD,0.012881,0.000328,0.0261,8.427M,"13,702","13,702","13,702",654.237M
XNC-USD,XeniosCoin USD,0.110064,-5.1e-05,-0.05%,8.395M,"2,002","2,002","2,002",76.275M
VTC-USD,Vertcoin USD,0.125045,-0.002325,-1.83%,8.315M,"108,584","108,584","108,584",66.496M
CUDOS-USD,CUDOS USD,0.002411,-3.8e-05,-1.57%,8.317M,"221,358","221,358","221,358",3.449B
NYE-USD,NewYork Exchange USD,1.1715,-0.0074,-0.62%,8.306M,"10,137","10,137","10,137",7.09M
GRID-USD,Grid+ USD,0.208189,0.0,0.00%,8.169M,19,19,19,39.236M
BCN-USD,Bytecoin USD,0.000045,1e-05,0.3026,8.243M,"14,856","14,856","14,856",184.067B
CELL-USD,Cellframe USD,0.284567,-0.006585,-2.26%,8.138M,"37,670","37,670","37,670",28.599M
PZM-USD,PRIZM USD,0.002475,1.5e-05,0.006,8.13M,"1,786","1,786","1,786",3.285B
SENSO-USD,SENSO USD,0.115564,0.001927,0.017,8.121M,"285,663","285,663","285,663",70.269M
IDRT-USD,Rupiah Token USD,0.000067,0.0,-0.37%,8.07M,"58,697","58,697","58,697",121.049B
CGO-USD,Comtech Gold USD,65,0.17,0.0027,8.06M,"96,658","96,658","96,658","124,000"
BTRS-USD,Bitball Treasure USD,17.91,12.68,2.424,8.059M,71,71,71,"450,000"
JUP-USD,Jupiter USD,0.008127,0.004959,1.5656,8.127M,20.105M,20.105M,20.105M,1B
OBSR-USD,Observer USD,0.001405,1e-05,0.007,8.016M,"20,085","20,085","20,085",5.707B
SHPING-USD,SHPING USD,0.004487,7.1e-05,0.0162,7.997M,"142,689","142,689","142,689",1.782B
BLT12182-USD,Blocto Token USD,0.03396,0.000933,0.0283,7.99M,"22,136","22,136","22,136",235.28M
GRC-USD,Gridcoin USD,0.018744,-0.000452,-2.35%,7.964M,"71,622","71,622","71,622",424.899M
RAE-USD,Receive Access Ecosystem USD,1.128,-0.0006,-0.05%,7.933M,"102,463","102,463","102,463",7.033M
TEMCO-USD,TEMCO USD,0.002008,-7.6e-05,-3.64%,7.978M,"14,878","14,878","14,878",3.973B
TREEB-USD,Retreeb USD,0.014506,-0.001887,-11.51%,7.933M,"196,738","196,738","196,738",546.916M
XCP-USD,Counterparty USD,3.0267,0.0,0.00%,7.912M,756,756,756,2.614M
ARIA20-USD,Arianee USD,0.293732,-0.001027,-0.35%,7.888M,"5,891","5,891","5,891",26.854M
VEE-USD,BLOCKv USD,0.002234,-0.000289,-11.44%,7.891M,290,290,290,3.532B
K21-USD,K21 USD,0.438454,-0.022752,-4.93%,7.856M,"21,735","21,735","21,735",17.917M
PEEL-USD,Meta Apes USD,0.051216,6.9e-05,0.0014,7.857M,"176,432","176,432","176,432",153.411M
EL-USD,ELYSIA USD,0.002417,-0.000274,-10.19%,7.81M,"149,311","149,311","149,311",3.231B
BAN-USD,Banano USD,0.005236,-0.000256,-4.66%,7.769M,"19,267","19,267","19,267",1.484B
XED-USD,Exeedme USD,0.086436,-0.003409,-3.79%,7.765M,"122,091","122,091","122,091",89.831M
APL-USD,Apollo Currency USD,0.000366,-4.3e-05,-10.62%,7.742M,"653,404","653,404","653,404",21.165B
HAM-USD,Hamster USD,0,0.0,-2.55%,7.746M,3.084M,3.084M,3.084M,"2,384.23T"
ZNN-USD,Zenon USD,1.2184,0.0717,0.0625,7.713M,"3,862","3,862","3,862",6.331M
MAN-USD,Matrix AI Network USD,0.03587,-0.001858,-4.92%,7.687M,"147,372","147,372","147,372",214.302M
BTCST-USD,Bitcoin Standard Hashrate Token USD,0.630962,0.005967,0.0095,7.699M,"128,068","128,068","128,068",12.201M
ORAI-USD,Oraichain USD,3.7644,-0.0609,-1.59%,7.696M,"529,373","529,373","529,373",2.044M
OXEN-USD,Oxen USD,0.121723,-0.001042,-0.85%,7.622M,"312,515","312,515","312,515",62.616M
PART-USD,Paricle Technology USD,0.579562,0.010106,0.0177,7.523M,"3,366","3,366","3,366",12.98M
VLTC-USD,Venus LTC USD,1.8131,-0.0179,-0.98%,7.511M,"5,587","5,587","5,587",4.142M
BEAM-USD,Beam USD,0.053825,0.004546,0.0922,7.427M,"262,866","262,866","262,866",137.992M
RAI-USD,Rai Reflex Index USD,2.7758,-0.0022,-0.08%,7.394M,"154,072","154,072","154,072",2.664M
CTX-USD,Cryptex Finance USD,1.7954,-0.0481,-2.61%,7.345M,"53,223","53,223","53,223",4.091M
BRG-USD,Bridge Oracle USD,0.000916,-3e-05,-3.19%,7.328M,1.619M,1.619M,1.619M,8.002B
GLCH-USD,Glitch USD,0.092111,-0.006827,-6.90%,7.303M,"234,411","234,411","234,411",79.283M
DHT-USD,dHedge DAO USD,0.175771,-0.00507,-2.80%,7.236M,"9,708","9,708","9,708",41.168M
TONE-USD,TE-FOOD USD,0.012239,-0.001661,-11.95%,7.231M,"583,235","583,235","583,235",590.834M
GOAL-USD,TopGoal USD,0.170076,-0.031334,-15.56%,7.228M,"404,876","404,876","404,876",42.5M
MITX-USD,Morpheus Labs USD,0.013691,-4.4e-05,-0.32%,7.188M,"81,301","81,301","81,301",525M
ASR-USD,AS Roma Fan Token USD,3.144,-0.6478,-17.09%,7.158M,30.308M,30.308M,30.308M,2.277M
ZYN-USD,Zynecoin USD,0.216341,-0.000997,-0.46%,7.077M,"38,240","38,240","38,240",32.713M
OGV-USD,Origin Dollar Governance USD,0.008166,-0.000124,-1.50%,7.021M,1.166M,1.166M,1.166M,859.782M
FCT-USD,Factom USD,0.670148,-0.002472,-0.37%,7.011M,10,10,10,10.462M
PNG-USD,Pangolin USD,0.044211,-0.002101,-4.54%,6.989M,"140,511","140,511","140,511",158.072M
MIR7857-USD,Mirror Protocol USD,0.089887,-0.001075,-1.18%,6.988M,1.677M,1.677M,1.677M,77.743M
AVT-USD,Aventus USD,1.1584,-0.001,-0.09%,6.95M,"95,930","95,930","95,930",6M
RING-USD,Darwinia Network USD,0.004652,-0.000106,-2.24%,6.959M,"94,400","94,400","94,400",1.496B
BIOT-USD,BioPassport Token USD,0.001547,-3e-06,-0.20%,6.917M,"58,684","58,684","58,684",4.47B
IHF-USD,Invictus Hyperion Fund USD,0.060032,-0.016012,-21.06%,6.909M,0,0,0,115.093M
ASTA-USD,ASTA USD,0.003272,-1e-06,-0.04%,6.871M,"353,541","353,541","353,541",2.1B
DVPN-USD,Sentinel USD,0.000537,-2.1e-05,-3.81%,6.847M,"111,689","111,689","111,689",12.74B
